epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,93.4924,0.88151,6.0225,0.01685,0.60131,0.56549,0.56389,0.40036,1.09435,4.58743,0.0314,0.000553094,0.000553094,0.000553094
2,154.212,1.06662,3.09704,0.02118,0.66476,0.56641,0.62473,0.40231,1.2507,1.61691,0.0378,0.00109778,0.00109778,0.00109778
3,211.803,1.19799,1.94906,0.02393,0.67942,0.55694,0.63241,0.39361,1.452,1.5637,0.04416,0.00163147,0.00163147,0.00163147
4,270.189,1.23287,1.59213,0.02472,0.66065,0.64936,0.65267,0.44685,1.29383,1.37367,0.03824,0.00161749,0.00161749,0.00161749
5,326.373,1.23576,1.48536,0.02509,0.72677,0.67631,0.72922,0.49565,1.34017,1.21991,0.03959,0.00160099,0.00160099,0.00160099
6,381.136,1.17347,1.2981,0.02341,0.64433,0.75129,0.74488,0.50113,1.34747,1.19041,0.04114,0.00158448,0.00158448,0.00158448
7,433.181,1.16762,1.24301,0.02337,0.73451,0.78515,0.79183,0.57802,1.07702,1.06088,0.03143,0.00156798,0.00156798,0.00156798
8,488.127,1.10638,1.21482,0.02192,0.73452,0.73514,0.77535,0.55901,1.15893,1.07222,0.03478,0.00155148,0.00155148,0.00155148
9,538.168,1.08746,1.16431,0.02115,0.75629,0.71951,0.80213,0.60089,1.15643,1.01616,0.03299,0.00153497,0.00153497,0.00153497
10,589.823,1.0656,1.10942,0.02106,0.68261,0.76538,0.79122,0.59499,1.08165,1.0637,0.03088,0.00151847,0.00151847,0.00151847
11,642.173,1.08042,1.10085,0.02117,0.72248,0.72063,0.7845,0.60199,1.09886,0.94463,0.03106,0.00150197,0.00150197,0.00150197
12,695.802,1.04386,1.04943,0.02047,0.76954,0.72605,0.78899,0.58412,1.18772,1.02551,0.03465,0.00148546,0.00148546,0.00148546
13,748.846,1.01541,1.01213,0.01984,0.75655,0.8058,0.83154,0.63552,1.07584,0.90348,0.03043,0.00146896,0.00146896,0.00146896
14,807.708,1.02223,0.99036,0.01964,0.79823,0.7844,0.82463,0.62411,1.08404,0.85095,0.03182,0.00145246,0.00145246,0.00145246
15,858.677,1.00683,0.98063,0.01957,0.77205,0.78837,0.83198,0.65081,1.00013,0.87081,0.02786,0.00143595,0.00143595,0.00143595
16,910.736,0.98911,0.95149,0.01914,0.80926,0.78741,0.84896,0.67096,1.00436,0.79884,0.0282,0.00141945,0.00141945,0.00141945
17,960.688,0.97358,0.933,0.01908,0.77101,0.7331,0.81018,0.63052,1.03128,0.91411,0.02892,0.00140295,0.00140295,0.00140295
18,1012.46,0.9688,0.9221,0.01832,0.79011,0.81271,0.86467,0.67366,0.97526,0.79551,0.0275,0.00138644,0.00138644,0.00138644
19,1060.96,0.95383,0.87612,0.01857,0.77521,0.78247,0.83632,0.6591,0.95986,0.82303,0.02648,0.00136994,0.00136994,0.00136994
20,1110.61,0.94571,0.91608,0.01808,0.8572,0.8002,0.87625,0.68415,1.00391,0.83608,0.02905,0.00135344,0.00135344,0.00135344
21,1159.35,0.94945,0.88525,0.01783,0.75436,0.74075,0.84369,0.63319,1.03951,0.96816,0.02979,0.00133693,0.00133693,0.00133693
22,1208.55,0.92941,0.86793,0.01784,0.82227,0.79575,0.86872,0.70611,0.93078,0.72369,0.02496,0.00132043,0.00132043,0.00132043
23,1257.47,0.91393,0.83926,0.01719,0.78538,0.81132,0.85798,0.68094,0.93538,0.79654,0.02638,0.00130393,0.00130393,0.00130393
24,1305.77,0.9186,0.83699,0.01756,0.83347,0.78333,0.868,0.6978,0.96268,0.78833,0.02704,0.00128742,0.00128742,0.00128742
25,1354.75,0.89131,0.79666,0.01685,0.8417,0.78805,0.89652,0.71982,0.92288,0.74111,0.02642,0.00127092,0.00127092,0.00127092
26,1403.56,0.90446,0.80032,0.01734,0.7936,0.82572,0.86201,0.6847,0.95274,0.79925,0.02647,0.00125442,0.00125442,0.00125442
27,1452.27,0.88556,0.8209,0.01735,0.85451,0.78072,0.88054,0.70374,0.94644,0.70572,0.02575,0.00123791,0.00123791,0.00123791
28,1501.58,0.87825,0.77634,0.01664,0.81078,0.81991,0.88372,0.72737,0.88157,0.70948,0.0251,0.00122141,0.00122141,0.00122141
29,1550.1,0.86885,0.76865,0.01654,0.83901,0.84551,0.90777,0.73462,0.90147,0.68423,0.02498,0.00120491,0.00120491,0.00120491
30,1598.74,0.85388,0.78257,0.01629,0.87786,0.8444,0.90831,0.72823,0.93414,0.72834,0.02527,0.0011884,0.0011884,0.0011884
31,1647.21,0.86269,0.76003,0.01639,0.84869,0.84695,0.90934,0.72011,0.9443,0.78253,0.02773,0.0011719,0.0011719,0.0011719
32,1696.19,0.87124,0.76352,0.01669,0.83175,0.81138,0.8839,0.72552,0.86028,0.68204,0.02368,0.0011554,0.0011554,0.0011554
33,1751.46,0.85759,0.75517,0.01625,0.8274,0.85009,0.89601,0.73897,0.84394,0.68867,0.02334,0.00113889,0.00113889,0.00113889
34,1804.83,0.84618,0.73107,0.01607,0.81098,0.87138,0.90267,0.73247,0.853,0.65561,0.02385,0.00112239,0.00112239,0.00112239
35,1856.37,0.82531,0.70565,0.01588,0.83473,0.85903,0.91181,0.74379,0.88562,0.66454,0.02506,0.00110589,0.00110589,0.00110589
36,1906.48,0.83789,0.72216,0.01572,0.80821,0.8477,0.89164,0.72895,0.87273,0.64067,0.02463,0.00108938,0.00108938,0.00108938
37,1956.01,0.8174,0.68707,0.01543,0.84094,0.86356,0.90642,0.76276,0.84659,0.69762,0.02353,0.00107288,0.00107288,0.00107288
38,2007.57,0.8001,0.68095,0.01499,0.85054,0.82339,0.88824,0.72676,0.8853,0.65587,0.02456,0.00105638,0.00105638,0.00105638
39,2057.64,0.82846,0.69357,0.01567,0.87935,0.8504,0.91071,0.74615,0.82232,0.62661,0.0229,0.00103987,0.00103987,0.00103987
40,2106.89,0.81582,0.68281,0.01515,0.78593,0.88519,0.90885,0.75171,0.86631,0.64159,0.02378,0.00102337,0.00102337,0.00102337
41,2156.79,0.79582,0.67628,0.01487,0.85245,0.87083,0.91451,0.75884,0.83011,0.66507,0.02308,0.00100687,0.00100687,0.00100687
42,2206.51,0.78843,0.66351,0.01471,0.89581,0.81905,0.91492,0.76877,0.84347,0.69158,0.0231,0.000990365,0.000990365,0.000990365
43,2255.99,0.79168,0.65361,0.01465,0.83075,0.85385,0.90507,0.76026,0.81288,0.64568,0.02244,0.000973861,0.000973861,0.000973861
