epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,1287.59,0.77836,0.78478,1.21132,0.83639,0.81354,0.8788,0.69688,0.86388,0.77432,1.32514,0.000990365,0.000990365,0.000990365
43,1317.39,0.77141,0.77193,1.20605,0.857,0.81313,0.86092,0.6911,0.86791,0.72238,1.33984,0.000973861,0.000973861,0.000973861
44,1347.49,0.77163,0.76769,1.21561,0.81035,0.83629,0.85913,0.68549,0.82844,0.70255,1.30013,0.000957358,0.000957358,0.000957358
45,1377.11,0.75989,0.76937,1.19904,0.82088,0.8515,0.86527,0.67395,0.87599,0.75881,1.3513,0.000940855,0.000940855,0.000940855
46,1406.84,0.76215,0.77375,1.2085,0.85774,0.8028,0.88269,0.7093,0.85694,0.71115,1.34371,0.000924352,0.000924352,0.000924352
47,1436.77,0.74134,0.75291,1.18716,0.82437,0.86273,0.9004,0.72744,0.80578,0.69891,1.29815,0.000907848,0.000907848,0.000907848
48,1466.16,0.73773,0.73479,1.18162,0.84324,0.81414,0.8837,0.71524,0.82426,0.66595,1.31067,0.000891345,0.000891345,0.000891345
49,1495.72,0.74681,0.73911,1.19355,0.82087,0.84402,0.86873,0.69254,0.83232,0.69551,1.32427,0.000874842,0.000874842,0.000874842
50,1524.86,0.73523,0.74108,1.18731,0.80648,0.8339,0.8753,0.70124,0.86455,0.70566,1.35442,0.000858338,0.000858338,0.000858338
51,1555.16,0.74226,0.72934,1.18156,0.83756,0.84823,0.89055,0.71774,0.8219,0.66588,1.29781,0.000841835,0.000841835,0.000841835
52,1584.96,0.73324,0.72218,1.18954,0.84383,0.839,0.88193,0.72071,0.83858,0.68976,1.3196,0.000825332,0.000825332,0.000825332
53,1614.65,0.72862,0.71973,1.18632,0.81307,0.8566,0.87591,0.72014,0.83391,0.69925,1.32206,0.000808828,0.000808828,0.000808828
54,1644.59,0.72156,0.71036,1.18261,0.80611,0.86864,0.89029,0.73541,0.80482,0.69745,1.29398,0.000792325,0.000792325,0.000792325
55,1674.54,0.70122,0.67854,1.1591,0.82574,0.84378,0.88179,0.71908,0.83277,0.68908,1.31262,0.000775822,0.000775822,0.000775822
56,1704.18,0.70745,0.70535,1.16512,0.89589,0.8115,0.89127,0.7168,0.81331,0.68083,1.30426,0.000759318,0.000759318,0.000759318
57,1733.95,0.71243,0.68243,1.17731,0.82636,0.86438,0.88462,0.71943,0.82129,0.66955,1.28872,0.000742815,0.000742815,0.000742815
58,1762.93,0.69807,0.67304,1.16327,0.82465,0.85815,0.88335,0.7241,0.80965,0.65394,1.29757,0.000726312,0.000726312,0.000726312
59,1792.55,0.69295,0.66618,1.16435,0.8407,0.8682,0.89306,0.7246,0.80514,0.69526,1.29933,0.000709809,0.000709809,0.000709809
60,1821.77,0.69809,0.66876,1.16239,0.82719,0.84558,0.89238,0.73112,0.81332,0.68053,1.29963,0.000693305,0.000693305,0.000693305
61,1850.64,0.67831,0.6635,1.14609,0.8611,0.83986,0.8861,0.72653,0.81944,0.67502,1.3049,0.000676802,0.000676802,0.000676802
62,1880.39,0.6773,0.63862,1.14864,0.87455,0.85987,0.90509,0.74061,0.78959,0.67558,1.27332,0.000660299,0.000660299,0.000660299
63,1910.12,0.67387,0.63731,1.14477,0.85521,0.84817,0.88706,0.73265,0.78452,0.65138,1.2651,0.000643795,0.000643795,0.000643795
64,1939.67,0.67788,0.63823,1.15403,0.86832,0.8465,0.89442,0.73938,0.79611,0.64885,1.28179,0.000627292,0.000627292,0.000627292
65,1968.79,0.67261,0.63719,1.14408,0.89111,0.83601,0.89624,0.73456,0.79257,0.66649,1.27603,0.000610789,0.000610789,0.000610789
66,1998.21,0.672,0.63622,1.13806,0.87496,0.85566,0.90965,0.74399,0.79713,0.66103,1.27254,0.000594286,0.000594286,0.000594286
